Ticker, Company Name, Market Cap, Currency
AJRD,Aerojet Rocketdyne Holdings Inc.,3258012928,USD
AVAV,AeroVironment Inc.,2021048064,USD
AIR.PA,Airbus SE,80460447744,EUR
BA,The Boeing Company,91190878208,USD
BA.L,BAE Systems plc,22849316864,GBp
GRMN,Garmin Ltd.,21147187200,USD
HON,Honeywell International Inc.,127739568128,USD
IRDM,Iridium Communications Inc.,4615391744,USD
LHX,L3Harris Technologies Inc.,46539042816,USD
LMT,Lockheed Martin Corporation,118412296192,USD
MAXR,Maxar Technologies Inc.,2448403456,USD
NOC,Northrop Grumman Corporation,68473946112,USD
OHB.F,OHB SE,572031808,EUR
RTX,Raytheon Technologies Corporation,147298271232,USD
SESG.PA,SES S.A.,4823423488,EUR
HO.PA,Thales S.A.,26167621632,EUR
TRMB,Trimble Inc.,16539441152,USD
VSAT,Viasat Inc.,2767419648,USD
Timestamp,2022-04-27 18:09:44.977303
